"id","question_id","text","value","created_at","updated_at"
1,1,Gece kuşuyum,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
2,1,Erken yatarım,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
3,1,Belirli bir düzenim yok,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
4,2,Günün erken saatlerinde,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
5,2,Saat 9-10 gibi,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
6,2,Öğle saatlerinde,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
7,3,Evde yemek yaparım,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
8,3,Dışarıdan söylerim,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
9,3,Hem yaparım hem söylerim,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
10,4,İçiyorum,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
11,4,İçmiyorum,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
12,4,Sadece sosyal ortamlarda içiyorum,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
13,5,Kullanıyorum,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
14,5,Kullanmıyorum,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
15,5,"Ev arkadaşım kullanabilir, rahatsız olmam",3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
16,6,Titizim,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
17,6,Orta derecede dikkat ederim,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
18,6,Çok dikkat etmem,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
19,7,Hemen yıkarım,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
20,7,Biraz bekletirim,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
21,7,Uzun süre bekletebilirim,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
22,8,Sürekli misafirim olur,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
23,8,Ara sıra misafir ağırlıyorum,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
24,8,Genelde kimse gelmez,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
25,9,Düzenli oynarım,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
26,9,Ara sıra oynarım,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
27,9,Oynamam,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
28,10,Sık sık izlerim,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
29,10,Ara sıra izlerim,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
30,10,Neredeyse hiç izlemem,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
31,11,Gürültüye çok hassasım,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
32,11,Orta düzeyde hassasım,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
33,11,Gürültü sorun değil,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
34,12,Sık sık dinlerim,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
